Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,UUID,Engagement Level,User Segment,User Value,Preferred Content Type,Primary Discovery Method,Categorized Mood,Satisfied with Podcast Variety
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,0862fd64-8518-4ceb-a236-6f49ed8654e7,Moderately Engaged,Loyal User,Standard,Music,Others,"Relaxation/Stress Relief, Social/Party, Sadness/Melancholy",Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,ea8e003f-d38f-4efe-938f-6a1d2cc85a45,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Uplifting/Motivational,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied,b58f68c6-ab0b-426b-bb49-9501db9b8b06,Moderately Engaged,Loyal User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,e419dbfc-ee25-4ad3-89d9-8826e0bfa3a2,Low Engagement,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Sadness/Melancholy",Not Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied,3d197319-651f-4fa2-9f33-2f8470b8b932,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied,f49c2a83-04d9-4a84-b5de-2f78f186a3f5,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,6fe0df86-b8bb-4d51-b137-1e17970dc717,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Sadness/Melancholy",Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,6b6f77de-ca18-4f0b-84c4-deedd0b64934,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied,2226271e-8984-4496-8459-43b042591294,Moderately Engaged,Loyal User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational, Sadness/Melancholy",Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Health and Fitness,Conversational,Both,Shorter,Ok,85af39ee-4b68-4a29-a589-5cc6cd39f7c2,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Varied,Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,6264cfb9-87a4-401d-8b44-1a47742212a1,Moderately Engaged,New User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Not Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,293e988a-cb4d-4ad3-818f-3b65d0abb1c2,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Not Satisfied
20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3,Never,Unknown,Unknown,Unknown,Unknown,Ok,1346497e-8426-4ee0-949a-2ac5dfc7f6b3,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,Unknown,Unknown,Unknown,Unknown,Ok,79f15903-5459-4768-bfd4-9dfc0321030a,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Not Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied,4fa81b48-8496-4fbd-ac2b-c4121bf1d682,Moderately Engaged,Loyal User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Satisfied
35-60,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Uplifting and motivational,"While Traveling, Workout session, leisure time",Playlists,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,acbd915b-bf57-465e-a9a3-8ee518d6bda5,Moderately Engaged,Loyal User,Standard,Music,Playlists,Uplifting/Motivational,Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Food and cooking,Interview,Well known individuals,Shorter,Very Satisfied,f442603e-9759-4634-b319-02f47f6a7d9d,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,,Music,Rock,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,720f49e8-4bd6-4f94-b59e-68586ccdb4c8,Moderately Engaged,Loyal User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied,7dd508ad-1912-4636-977b-c02f4c7c3fed,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Daily,Health and Fitness,Story telling,Both,Both,Satisfied,6751d7fc-0be3-4131-aa71-caa87ebd388b,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
35-60,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Several times a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied,cbb5df3d-fb08-4684-a14e-e99b7cda63ce,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Podcast,Melody,Night,Relaxation and stress relief,leisure time,"Radio, Others",4,Rarely,Lifestyle and Health,Educational,Both,Both,Satisfied,7d219716-b477-439f-8def-20967657f4d8,Moderately Engaged,New User,Standard,Music,Radio,Relaxation/Stress Relief,Satisfied
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",3,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,11925ef5-b59d-477f-b184-6b832f49daad,Moderately Engaged,Loyal User,Standard,Music,Radio,"Relaxation/Stress Relief, Social/Party, Sadness/Melancholy",Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",recommendations,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,48050539-3ad1-4d3c-b6c7-e31e13820e42,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Comedy,Interview,Both,Shorter,Satisfied,04d0c1cc-2d3c-45f5-a1b5-91ed89a25bc7,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Satisfied
12-20,Male,More than 2 years,Smartphone,Premium (paid subscription),No,,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Rarely,Comedy,Story telling,Both,Both,Ok,9940d945-600a-4587-989b-7df4bea8a977,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,Unknown,Unknown,Unknown,Unknown,Ok,789b52b5-30ab-4ecf-beda-b12295a8d9cb,Low Engagement,Emerging User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Others,4,Rarely,Sports,Educational,unknown Podcasters,Both,Ok,b6a046ec-f6d6-4414-bde8-2eed8765349d,Moderately Engaged,New User,Standard,Music,Others,Relaxation/Stress Relief,Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,5,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,339bfcd5-d5ae-44ff-b682-4fd66ba875d0,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,b450b365-53fe-4cf3-8b74-31df0cf0907e,Low Engagement,Loyal User,Standard,Music,Recommendations,Varied,Not Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Uplifting and motivational,Workout session,Radio,3,Rarely,Food and cooking,Educational,Well known individuals,Both,Satisfied,9733f4b3-e079-4c29-a1a7-3901a7ca5ded,Moderately Engaged,Emerging User,Standard,Music,Radio,Uplifting/Motivational,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Playlists",5,Never,Unknown,Unknown,Unknown,Unknown,Ok,a3c264fa-70d8-4cea-bcf7-c67413f92fb9,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok,33342eb3-519e-48aa-bd08-20d5ab1bf2c9,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Not Satisfied
20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Pop,Night,Uplifting and motivational,Study Hours,recommendations,3,Several times a week,Sports,Conversational,Well known individuals,Longer,Very Satisfied,983f9dda-33f8-48a9-8975-2bb2b4aa09a1,Low Engagement,Loyal User,Standard,Music,Recommendations,Uplifting/Motivational,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Both,Shorter,Ok,146e1dc9-06e7-43bc-a298-d3e61c6eb52b,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,Unknown,Unknown,Ok,f6bb761a-5905-4ff6-97a0-07d11084f2c2,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,classical,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Sports,Unknown,Well known individuals,Shorter,Ok,d553439a-3d02-4846-af11-e7883e79925d,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,2c18ad5f-e5be-4410-a900-77705827d49a,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Daily,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied,56a53a2b-a0e8-4c2d-a07b-09f8d4cf523a,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","Radio, Others",4,Several times a week,Sports,Educational,Both,Longer,Satisfied,bd1808c1-622f-47ec-aa4d-8cf2340698c8,Low Engagement,Emerging User,Standard,Podcast,Radio,"Relaxation/Stress Relief, Uplifting/Motivational",Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,946d0ba7-0c3d-49d9-842c-94ce3ef64ef2,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Morning,Uplifting and motivational,"While Traveling, Workout session","recommendations, Playlists",4,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,901d81e9-eac4-4bd1-b73d-a87f47713227,Moderately Engaged,New User,Standard,Music,Recommendations,Uplifting/Motivational,Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,324f71c7-fd38-4081-bf16-2b5d466582b6,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,5,Several times a week,Comedy,Interview,Well known individuals,Shorter,Very Satisfied,2ac029db-71a3-4ab9-bda1-3ca1f0059772,Moderately Engaged,Emerging User,Standard,Music,Playlists,"Relaxation/Stress Relief, Social/Party, Sadness/Melancholy",Satisfied
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Sadness or melancholy,While Traveling,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied,be053606-07fe-44f0-a931-d9964225a5e9,Moderately Engaged,Emerging User,Standard,Music,Radio,Sadness/Melancholy,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,"Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session","Playlists, Radio",3,Once a week,Sports,Interview,Well known individuals,Shorter,Satisfied,589de9e5-07b4-4e1b-87ed-a3bc77ad61ef,Moderately Engaged,Emerging User,Standard,Music,Playlists,"Social/Party, Sadness/Melancholy",Satisfied
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,b86625a0-9cd0-49eb-816d-6593223302a0,Moderately Engaged,Emerging User,Standard,Music,Radio,Uplifting/Motivational,Not Satisfied
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,ee7d74bf-d4c7-49ca-b1d6-51b10f47b8ee,Moderately Engaged,Emerging User,Standard,Music,Radio,Uplifting/Motivational,Not Satisfied
12-20,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Educational,Both,Both,Satisfied,ae8ddabf-ceeb-4336-a232-cd1622c72300,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Sadness/Melancholy,Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),No,,Podcast,classical,Morning,Uplifting and motivational,While Traveling,"Radio, Others",2,Several times a week,Lifestyle and Health,Story telling,Both,Shorter,Ok,f21b1240-14c3-4ef1-bf35-df41ee8b9adf,Moderately Engaged,Emerging User,Standard,Music,Radio,Uplifting/Motivational,Not Satisfied
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2,Several times a week,Food and cooking,Story telling,unknown Podcasters,Longer,Ok,760dbbbd-c25d-4ce8-950d-0f698b6e562d,Moderately Engaged,Emerging User,Standard,Music,Radio,Uplifting/Motivational,Not Satisfied
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),No,,Podcast,classical,Afternoon,Sadness or melancholy,"Study Hours, While Traveling","Playlists, Others",4,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,1ab99b24-3022-41f1-aa54-2b33f72f5915,Low Engagement,Emerging User,Standard,Music,Playlists,Sadness/Melancholy,Satisfied
6-12,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Study Hours, While Traveling","Playlists, Radio",2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Ok,bc71d70a-a79a-4b0b-a826-fd9cf79140f5,Low Engagement,Emerging User,Standard,Music,Playlists,Uplifting/Motivational,Not Satisfied
20-35,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok,d11ddc47-cddf-449e-8893-5350b9c73a83,Moderately Engaged,Loyal User,Standard,Music,Radio,Uplifting/Motivational,Not Satisfied
35-60,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,,Podcast,Melody,Morning,Sadness or melancholy,Workout session,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Dissatisfied,a0f5d02c-ae9a-4da5-9253-0cb6de48ec72,Moderately Engaged,Emerging User,Standard,Music,Radio,Sadness/Melancholy,Not Satisfied
12-20,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"While Traveling, Workout session","Playlists, Radio",3,Several times a week,Food and cooking,Interview,unknown Podcasters,Longer,Ok,6f537444-ce51-4dd5-9ab2-1b22b0ee492c,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
12-20,Female,1 year to 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,"While Traveling, leisure time","Playlists, Others",2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied,21d9a687-ecf1-4fa5-b487-80f3b81022a3,Moderately Engaged,Emerging User,Standard,Music,Playlists,Uplifting/Motivational,Not Satisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, Workout session","Playlists, Radio",2,Once a week,Sports,Story telling,Both,Longer,Ok,7a6ae992-8156-4985-9f49-4ef5fd686786,Low Engagement,Emerging User,Standard,Music,Playlists,"Uplifting/Motivational, Sadness/Melancholy",Not Satisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Relaxation and stress relief,While Traveling,"Radio, Others",3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok,68e03a2a-1fe5-4bda-aac2-ad8d18aed110,Moderately Engaged,Emerging User,Standard,Music,Radio,Relaxation/Stress Relief,Not Satisfied
35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Afternoon,Uplifting and motivational,"Study Hours, Workout session",Radio,2,Rarely,Health and Fitness,Interview,unknown Podcasters,Longer,Ok,d23c9cde-5ee9-49af-83b0-c821b37fca31,Low Engagement,Emerging User,Standard,Music,Radio,Uplifting/Motivational,Not Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Morning,Uplifting and motivational,While Traveling,Playlists,3,Once a week,Health and Fitness,Educational,Both,Both,Ok,52a71313-f01e-47bf-8f8b-60fb1c483336,Moderately Engaged,Emerging User,Standard,Music,Playlists,Uplifting/Motivational,Not Satisfied
12-20,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy",Workout session,Others,4,Rarely,Sports,Story telling,Both,Longer,Dissatisfied,34220fd7-abb9-4a10-b5e8-9f8f49769450,Moderately Engaged,Emerging User,Standard,Music,Others,"Uplifting/Motivational, Sadness/Melancholy",Not Satisfied
35-60,Others,More than 2 years,Wearable devices,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Electronic/Dance,Morning,Uplifting and motivational,"Study Hours, Workout session","Playlists, Radio, Others",2,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied,25bba55a-3d53-4ffa-9dd7-63c8a6cde176,Low Engagement,Loyal User,Standard,Music,Playlists,Uplifting/Motivational,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),No,,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Playlists,2,Several times a week,Lifestyle and Health,Conversational,Both,Both,Dissatisfied,2427a381-302b-413e-bb1a-3a920680faab,Moderately Engaged,Emerging User,Standard,Music,Playlists,Uplifting/Motivational,Not Satisfied
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,,Podcast,classical,Morning,Social gatherings or parties,While Traveling,recommendations,2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Very Satisfied,33cc59fd-5adf-4b77-8abf-1557e43b3e24,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Social/Party,Satisfied
35-60,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),No,,Music,Melody,Night,Social gatherings or parties,While Traveling,Others,2,Once a week,Health and Fitness,Educational,unknown Podcasters,Longer,Ok,6c963d8f-17be-4e23-8f3c-87e0c96fca44,Moderately Engaged,Emerging User,Standard,Music,Others,Social/Party,Not Satisfied
12-20,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,2,Never,Unknown,Unknown,Unknown,Unknown,Ok,fbad0c84-924e-4ab6-8c42-9d891df4b466,Moderately Engaged,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Not Satisfied
35-60,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,1c6ce0c7-4284-493c-83cf-8c6d4665505c,Moderately Engaged,Emerging User,Standard,Music,Playlists,Uplifting/Motivational,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,"Playlists, Radio",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,6a056982-3b51-46fe-86ab-bada8316ea52,Moderately Engaged,Loyal User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,trending songs random,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,258e8b5c-4224-439c-bf11-bc20e403c319,Moderately Engaged,New User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
